areaCode,areaName,areaType,date,capacityPillarOneTwo,cumAdmissions,cumCasesBySpecimenDate,cumDailyNsoDeathsByDeathDate,cumDeaths28DaysByDeathDate
K02000001,United Kingdom,overview,16/06/2021,579131,470455,4608443,154094,128059
K02000001,United Kingdom,overview,15/06/2021,579131,470227,4597670,154081,128048
K02000001,United Kingdom,overview,14/06/2021,579462,469995,4587167,154061,128029
K02000001,United Kingdom,overview,13/06/2021,579462,469767,4577059,154049,128020
K02000001,United Kingdom,overview,12/06/2021,583462,469545,4570104,154037,128010
K02000001,United Kingdom,overview,11/06/2021,573462,469368,4563987,154026,127997
K02000001,United Kingdom,overview,10/06/2021,573459,469190,4556544,154013,127991
K02000001,United Kingdom,overview,09/06/2021,568459,468990,4548706,153997,127980
K02000001,United Kingdom,overview,08/06/2021,568459,468797,4540704,153981,127973
K02000001,United Kingdom,overview,07/06/2021,587538,468608,4533030,153966,127965
K02000001,United Kingdom,overview,06/06/2021,563538,468433,4525286,153959,127960
K02000001,United Kingdom,overview,05/06/2021,570938,468279,4519880,153946,127954
K02000001,United Kingdom,overview,04/06/2021,570938,468153,4515258,153940,127949
K02000001,United Kingdom,overview,03/06/2021,571266,468030,4509552,153928,127940
K02000001,United Kingdom,overview,02/06/2021,571266,467904,4503452,153912,127928
K02000001,United Kingdom,overview,01/06/2021,570816,467776,4497402,153900,127918
K02000001,United Kingdom,overview,31/05/2021,645813,467622,4492167,153890,127914
K02000001,United Kingdom,overview,30/05/2021,638416,467498,4488386,153879,127907
K02000001,United Kingdom,overview,29/05/2021,645816,467386,4485291,153871,127899
K02000001,United Kingdom,overview,28/05/2021,645816,467282,4482359,153859,127892
K02000001,United Kingdom,overview,27/05/2021,645811,467142,4478869,153846,127884
K02000001,United Kingdom,overview,26/05/2021,645811,467015,4475231,153838,127876
K02000001,United Kingdom,overview,25/05/2021,645811,466883,4471430,153824,127865
K02000001,United Kingdom,overview,24/05/2021,645811,466750,4468122,153814,127861
K02000001,United Kingdom,overview,23/05/2021,638411,466611,4464884,153798,127852
K02000001,United Kingdom,overview,22/05/2021,645811,466497,4462643,153782,127845
